Price,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,AMD,AVGO,INTC,NVDA,AMD,AVGO,INTC,NVDA,AMD,AVGO,INTC,NVDA,AMD,AVGO,INTC,NVDA,AMD,AVGO,INTC,NVDA,AMD,AVGO,INTC,NVDA
Date,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-23,160.89999389648438,338.94000244140625,29.34000015258789,178.42999267578125,160.89999389648438,338.94000244140625,29.34000015258789,178.42999267578125,163.38999938964844,345.2200012207031,30.200000762939453,182.4199981689453,159.2100067138672,337.0199890136719,28.81999969482422,176.2100067138672,160.52000427246094,340.239990234375,28.989999771118164,181.97000122070312,39448300,21944100,126317900,192559600
2025-09-24,160.8800048828125,339.30999755859375,31.219999313354492,176.97000122070312,160.8800048828125,339.30999755859375,31.219999313354492,176.97000122070312,165.10000610351562,340.0799865722656,31.700000762939453,179.77999877929688,158.42999267578125,333.80999755859375,29.229999542236328,175.39999389648438,162.97999572753906,339.760009765625,29.3799991607666,179.77000427246094,38464100,19677300,164458500,143564100
2025-09-25,161.27000427246094,336.1000061035156,33.9900016784668,177.69000244140625,161.27000427246094,336.1000061035156,33.9900016784668,177.69000244140625,161.6300048828125,338.05999755859375,34.25,180.25999450683594,154.77999877929688,327.29998779296875,31.209999084472656,173.1300048828125,157.13999938964844,332.989990234375,31.610000610351562,174.47999572753906,36809900,21678200,295709300,191586700
2025-09-26,159.4600067138672,334.5299987792969,35.5,178.19000244140625,159.4600067138672,334.5299987792969,35.5,178.19000244140625,162.11000061035156,339.0799865722656,36.29999923706055,179.77000427246094,157.0500030517578,330.5799865722656,34.4900016784668,174.92999267578125,160.52000427246094,337.42999267578125,35.02000045776367,178.1699981689453,30316900,15464700,268583300,148573700
2025-09-29,161.36000061035156,327.8999938964844,34.47999954223633,181.85000610351562,161.36000061035156,327.8999938964844,34.47999954223633,181.85000610351562,164.3000030517578,341.04998779296875,35.04999923706055,184.0,159.89999389648438,327.54998779296875,33.72999954223633,180.32000732421875,160.1199951171875,336.0,34.52000045776367,180.42999267578125,39828800,21336000,152605900,193063500
2025-09-30,161.7899932861328,329.9100036621094,33.54999923706055,186.5800018310547,161.7899932861328,329.9100036621094,33.54999923706055,186.5800018310547,162.27999877929688,331.04998779296875,34.2400016784668,187.35000610351562,159.3300018310547,324.6099853515625,33.02000045776367,181.47999572753906,160.7899932861328,330.1199951171875,33.93000030517578,182.0800018310547,29669300,20109500,124818400,236981000
2025-10-01,164.00999450683594,333.3900146484375,35.939998626708984,187.24000549316406,164.00999450683594,333.3900146484375,35.939998626708984,187.24000549316406,164.17999267578125,337.95001220703125,36.060001373291016,188.13999938964844,160.49000549316406,324.5,33.5,183.89999389648438,160.92999267578125,328.1499938964844,33.529998779296875,185.24000549316406,39895200,21122700,162649700,173844900
2025-10-02,169.72999572753906,338.17999267578125,37.29999923706055,188.88999938964844,169.72999572753906,338.17999267578125,37.29999923706055,188.88999938964844,171.05999755859375,347.6099853515625,37.56999969482422,191.0500030517578,166.1199951171875,335.25,35.439998626708984,188.05999755859375,168.67999267578125,347.6099853515625,35.7599983215332,189.60000610351562,55475200,19917600,149361700,136805800
